GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core Service,com.reddot.core.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Core Service,com.reddot.core.config,FeignConfiguration,0,5,0,0,0,2,0,2,0,2
Core Service,com.reddot.core.config,SecurityConfiguration,0,136,0,0,0,38,0,3,0,3
Core Service,com.reddot.core.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Core Service,com.reddot.core.config,CacheConfiguration,120,144,7,3,20,38,5,10,1,9
Core Service,com.reddot.core.config,WebConfigurer,46,34,4,2,11,9,4,2,1,2
Core Service,com.reddot.core.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Core Service,com.reddot.core.config,LiquibaseConfiguration,4,91,1,1,1,23,1,2,0,2
Core Service,com.reddot.core.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Core Service,com.reddot.core.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Core Service,com.reddot.core.config,LoggingConfiguration,11,53,4,4,3,13,4,2,0,2
Core Service,com.reddot.core.config,DatabaseConfiguration,0,3,0,0,0,1,0,1,0,1
Core Service,com.reddot.core.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Core Service,com.reddot.core.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Core Service,com.reddot.core.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Core Service,com.reddot.core.security.jwt,TokenProvider,127,55,5,1,29,12,7,1,4,1
Core Service,com.reddot.core.security,SecurityUtils,106,0,16,0,23,0,19,0,11,0
Core Service,com.reddot.core.security,SpringSecurityAuditorAware,6,3,0,0,1,1,1,1,1,1
Core Service,com.reddot.core.service.impl,ThreadServiceImpl,0,118,0,0,0,24,0,7,0,7
Core Service,com.reddot.core.service.impl,PostServiceImpl,0,118,0,0,0,24,0,7,0,7
Core Service,com.reddot.core.service.impl,BoardServiceImpl,0,119,0,0,0,24,0,7,0,7
Core Service,com.reddot.core.service.impl,CommentServiceImpl,21,136,7,3,4,28,5,8,0,8
Core Service,com.reddot.core.client,UserFeignClientInterceptor,27,3,0,0,2,1,2,1,2,1
Core Service,com.reddot.core,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Core Service,com.reddot.core,CoreServiceApp,134,24,10,2,28,10,9,3,3,3
Core Service,com.reddot.core.domain,Comment,41,58,8,0,12,24,8,15,4,15
Core Service,com.reddot.core.domain,Board_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,Thread,89,42,12,0,25,16,16,10,10,10
Core Service,com.reddot.core.domain,Thread_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Core Service,com.reddot.core.domain,Post_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,Post,91,54,12,0,26,21,16,13,10,13
Core Service,com.reddot.core.domain,Board,89,30,12,0,25,11,16,7,10,7
Core Service,com.reddot.core.domain,Comment_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.service.mapper,BoardMapperImpl,71,58,13,7,19,20,11,6,2,5
Core Service,com.reddot.core.service.mapper,ThreadMapperImpl,80,77,14,8,20,23,12,6,2,5
Core Service,com.reddot.core.service.mapper,PostMapperImpl,80,92,13,11,20,27,11,8,2,5
Core Service,com.reddot.core.service.mapper,CommentMapperImpl,87,108,15,11,21,30,13,7,2,5
Core Service,com.reddot.core.web.rest,ThreadResource,14,195,2,12,2,44,2,12,0,7
Core Service,com.reddot.core.web.rest,CommentResource,14,195,2,12,2,44,2,12,0,7
Core Service,com.reddot.core.web.rest,PostResource,15,240,2,12,3,56,2,12,0,7
Core Service,com.reddot.core.web.rest,BoardResource,14,195,2,12,2,44,2,12,0,7
Core Service,com.reddot.core.service.dto,ThreadDTO,41,24,6,0,13,10,6,7,3,7
Core Service,com.reddot.core.service.dto,PostDTO,43,31,6,0,14,13,6,9,3,9
Core Service,com.reddot.core.service.dto,StatisticPostDTO,10,31,0,0,1,13,1,9,1,9
Core Service,com.reddot.core.service.dto,CommentDTO,45,38,6,0,15,16,6,11,3,11
Core Service,com.reddot.core.service.dto,BoardDTO,39,17,6,0,12,7,6,5,3,5
Core Service,com.reddot.core.route,ActiveMqRoute,0,10,0,0,0,4,0,2,0,2
Core Service,com.reddot.core.web.rest.errors,BadRequestAlertException,0,48,0,0,0,12,0,5,0,5
Core Service,com.reddot.core.web.rest.errors,ErrorConstants,0,7,0,0,0,2,0,1,0,1
Core Service,com.reddot.core.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Core Service,com.reddot.core.web.rest.errors,ExceptionTranslator,148,216,13,13,32,52,15,10,5,7
Core Service,com.reddot.core.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
