GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core Service,com.reddot.core.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.config,FeignConfiguration,5,0,0,0,2,0,2,0,2,0
Core Service,com.reddot.core.config,SecurityConfiguration,136,0,0,0,38,0,3,0,3,0
Core Service,com.reddot.core.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Core Service,com.reddot.core.config,CacheConfiguration,264,0,10,0,58,0,15,0,10,0
Core Service,com.reddot.core.config,WebConfigurer,0,80,2,4,0,20,2,4,0,3
Core Service,com.reddot.core.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Core Service,com.reddot.core.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Core Service,com.reddot.core.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Core Service,com.reddot.core.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Core Service,com.reddot.core.config,LoggingConfiguration,64,0,8,0,16,0,6,0,2,0
Core Service,com.reddot.core.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
Core Service,com.reddot.core.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
Core Service,com.reddot.core.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
Core Service,com.reddot.core.security.jwt,TokenProvider,10,172,2,4,1,40,2,6,0,5
Core Service,com.reddot.core.security,SecurityUtils,11,95,5,11,4,19,5,14,0,11
Core Service,com.reddot.core.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Core Service,com.reddot.core.service.impl,ThreadServiceImpl,118,0,0,0,24,0,7,0,7,0
Core Service,com.reddot.core.service.impl,PostServiceImpl,118,0,0,0,24,0,7,0,7,0
Core Service,com.reddot.core.service.impl,BoardServiceImpl,119,0,0,0,24,0,7,0,7,0
Core Service,com.reddot.core.service.impl,CommentServiceImpl,157,0,10,0,32,0,13,0,8,0
Core Service,com.reddot.core.client,UserFeignClientInterceptor,30,0,0,0,3,0,3,0,3,0
Core Service,com.reddot.core,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Core Service,com.reddot.core,CoreServiceApp,158,0,12,0,38,0,12,0,6,0
Core Service,com.reddot.core.domain,Comment,49,50,1,7,21,15,12,11,11,8
Core Service,com.reddot.core.domain,Board_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,Thread,81,50,5,7,27,14,16,10,13,7
Core Service,com.reddot.core.domain,Thread_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Core Service,com.reddot.core.domain,Post_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,Post,90,55,5,7,31,16,18,11,15,8
Core Service,com.reddot.core.domain,Board,69,50,5,7,22,14,13,10,10,7
Core Service,com.reddot.core.domain,Comment_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Core Service,com.reddot.core.service.mapper,BoardMapperImpl,129,0,20,0,39,0,17,0,7,0
Core Service,com.reddot.core.service.mapper,ThreadMapperImpl,157,0,22,0,43,0,18,0,7,0
Core Service,com.reddot.core.service.mapper,PostMapperImpl,172,0,24,0,47,0,19,0,7,0
Core Service,com.reddot.core.service.mapper,CommentMapperImpl,195,0,26,0,51,0,20,0,7,0
Core Service,com.reddot.core.web.rest,ThreadResource,209,0,14,0,46,0,14,0,7,0
Core Service,com.reddot.core.web.rest,CommentResource,209,0,14,0,46,0,14,0,7,0
Core Service,com.reddot.core.web.rest,PostResource,255,0,14,0,59,0,14,0,7,0
Core Service,com.reddot.core.web.rest,BoardResource,209,0,14,0,46,0,14,0,7,0
Core Service,com.reddot.core.service.dto,ThreadDTO,10,55,1,5,5,18,3,10,2,8
Core Service,com.reddot.core.service.dto,PostDTO,14,60,1,5,7,20,4,11,3,9
Core Service,com.reddot.core.service.dto,StatisticPostDTO,41,0,0,0,14,0,10,0,10,0
Core Service,com.reddot.core.service.dto,CommentDTO,18,65,1,5,9,22,5,12,4,10
Core Service,com.reddot.core.service.dto,BoardDTO,6,50,1,5,3,16,2,9,1,7
Core Service,com.reddot.core.route,ActiveMqRoute,10,0,0,0,4,0,2,0,2,0
Core Service,com.reddot.core.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Core Service,com.reddot.core.web.rest.errors,ErrorConstants,7,0,0,0,2,0,1,0,1,0
Core Service,com.reddot.core.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Core Service,com.reddot.core.web.rest.errors,ExceptionTranslator,364,0,26,0,84,0,25,0,12,0
Core Service,com.reddot.core.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
