GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stats Service,com.reddot.stats.service.dto,StatisticsPostDTO,45,38,6,0,15,16,6,11,3,11
Stats Service,com.reddot.stats.service.mapper,StatisticsPostMapperImpl,63,97,13,11,17,29,11,7,2,4
Stats Service,com.reddot.stats.web.rest.errors,BadRequestAlertException,0,48,0,0,0,12,0,5,0,5
Stats Service,com.reddot.stats.web.rest.errors,ErrorConstants,0,7,0,0,0,2,0,1,0,1
Stats Service,com.reddot.stats.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Stats Service,com.reddot.stats.web.rest.errors,ExceptionTranslator,148,216,13,13,32,52,15,10,5,7
Stats Service,com.reddot.stats.domain,StatisticsPost_,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Stats Service,com.reddot.stats.domain,StatisticsPost,45,58,8,0,14,24,8,15,4,15
Stats Service,com.reddot.stats.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Stats Service,com.reddot.stats,StatsServiceApp,134,24,10,2,28,10,9,3,3,3
Stats Service,com.reddot.stats,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Stats Service,com.reddot.stats.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Stats Service,com.reddot.stats.security.jwt,TokenProvider,127,55,5,1,29,12,7,1,4,1
Stats Service,com.reddot.stats.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Stats Service,com.reddot.stats.route,ActiveMqRoute,0,19,0,0,0,6,0,2,0,2
Stats Service,com.reddot.stats.pojo,PostInfo,66,0,0,0,25,0,13,0,13,0
Stats Service,com.reddot.stats.security,SecurityUtils,106,0,16,0,23,0,19,0,11,0
Stats Service,com.reddot.stats.security,SpringSecurityAuditorAware,6,3,0,0,1,1,1,1,1,1
Stats Service,com.reddot.stats.client,UserFeignClientInterceptor,27,3,0,0,2,1,2,1,2,1
Stats Service,com.reddot.stats.config,DatabaseConfiguration,0,3,0,0,0,1,0,1,0,1
Stats Service,com.reddot.stats.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Stats Service,com.reddot.stats.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Stats Service,com.reddot.stats.config,SecurityConfiguration,0,136,0,0,0,38,0,3,0,3
Stats Service,com.reddot.stats.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Stats Service,com.reddot.stats.config,CacheConfiguration,120,144,7,3,20,38,5,10,1,9
Stats Service,com.reddot.stats.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Stats Service,com.reddot.stats.config,LoggingConfiguration,11,53,4,4,3,13,4,2,0,2
Stats Service,com.reddot.stats.config,LiquibaseConfiguration,4,91,1,1,1,23,1,2,0,2
Stats Service,com.reddot.stats.config,FeignConfiguration,0,5,0,0,0,2,0,2,0,2
Stats Service,com.reddot.stats.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Stats Service,com.reddot.stats.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Stats Service,com.reddot.stats.config,WebConfigurer,46,34,4,2,11,9,4,2,1,2
Stats Service,com.reddot.stats.web.rest,StatisticsPostResource,22,195,2,12,4,44,3,12,1,7
Stats Service,com.reddot.stats.service.impl,StatisticsPostServiceImpl,8,119,0,0,2,28,1,7,1,7
