GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stats Service,com.reddot.stats.service.dto,StatisticsPostDTO,18,65,1,5,9,22,5,12,4,10
Stats Service,com.reddot.stats.service.mapper,StatisticsPostMapperImpl,160,0,24,0,46,0,18,0,6,0
Stats Service,com.reddot.stats.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Stats Service,com.reddot.stats.web.rest.errors,ErrorConstants,7,0,0,0,2,0,1,0,1,0
Stats Service,com.reddot.stats.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Stats Service,com.reddot.stats.web.rest.errors,ExceptionTranslator,364,0,26,0,84,0,25,0,12,0
Stats Service,com.reddot.stats.domain,StatisticsPost_,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Stats Service,com.reddot.stats.domain,StatisticsPost,43,60,1,7,19,19,10,13,9,10
Stats Service,com.reddot.stats.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Stats Service,com.reddot.stats,StatsServiceApp,158,0,12,0,38,0,12,0,6,0
Stats Service,com.reddot.stats,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Stats Service,com.reddot.stats.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
Stats Service,com.reddot.stats.security.jwt,TokenProvider,10,172,2,4,1,40,2,6,0,5
Stats Service,com.reddot.stats.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
Stats Service,com.reddot.stats.route,ActiveMqRoute,19,0,0,0,6,0,2,0,2,0
Stats Service,com.reddot.stats.pojo,PostInfo,66,0,0,0,25,0,13,0,13,0
Stats Service,com.reddot.stats.security,SecurityUtils,11,95,5,11,4,19,5,14,0,11
Stats Service,com.reddot.stats.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Stats Service,com.reddot.stats.client,UserFeignClientInterceptor,30,0,0,0,3,0,3,0,3,0
Stats Service,com.reddot.stats.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Stats Service,com.reddot.stats.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Stats Service,com.reddot.stats.config,SecurityConfiguration,136,0,0,0,38,0,3,0,3,0
Stats Service,com.reddot.stats.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
Stats Service,com.reddot.stats.config,CacheConfiguration,264,0,10,0,58,0,15,0,10,0
Stats Service,com.reddot.stats.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Stats Service,com.reddot.stats.config,LoggingConfiguration,64,0,8,0,16,0,6,0,2,0
Stats Service,com.reddot.stats.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Stats Service,com.reddot.stats.config,FeignConfiguration,5,0,0,0,2,0,2,0,2,0
Stats Service,com.reddot.stats.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Stats Service,com.reddot.stats.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Stats Service,com.reddot.stats.config,WebConfigurer,0,80,2,4,0,20,2,4,0,3
Stats Service,com.reddot.stats.web.rest,StatisticsPostResource,217,0,14,0,48,0,15,0,8,0
Stats Service,com.reddot.stats.service.impl,StatisticsPostServiceImpl,127,0,0,0,30,0,8,0,8,0
